顶层需求	任务	描述	验收标准
			特殊类型: 支持 BCD 码、时间戳、位域（Bitfield）。
			结构化类型: 支持结构体（嵌套）、数组（定长/变长）。
			元数据: 支持定义命令字、编码等元数据字段。
	字段属性配置	支持为每个字段配置详细的属性。	字节序: 可根据实际情况为每个多字节字段独立设置大端（Big-Endian）或小端（Little-Endian）。
			长度: 根据实际情况支持定义定长和变长字段的长度（如，由其他字段的值决定）。
			对齐: 根据实际情况支持设置字段的内存对齐方式。
			编码: 根据实际情况字符串类型支持配置不同的编码格式（如 UTF-8, GBK）。
	可视化定义工具	开发一个图形化界面，让用户可以通过表单或拖拽的方式定义报文格式，并自动生成 IDL。	用户可以通过界面选择字段类型、填写属性，实时预览生成的 IDL。
	报文格式的增删改查	实现对报文格式定义文件的基础管理功能。	创建: 用户可以创建一个新的报文格式定义。
			编辑: 用户可以修改已有的报文格式定义。
			删除: 用户可以删除不再需要的报文格式。
	“报文解析”节点开发	在可视化流程编排系统中，提供一个“报文解析”节点。	节点有一个输入端口（接收二进制数据）和一个输出端口（输出结构化数据）。
			节点配置界面可以选择要使用的报文格式定义。
	“构建报文”节点开发	在可视化流程编排系统中，提供一个“构建报文”节点。	节点有一个输入端口（接收结构化数据）和一个输出端口（输出二进制数据）。
			节点配置界面可以选择要使用的报文格式定义。
代码生成与执行	流程配置解析器	开发一个解析器，用于读取和理解前端画布生成的流程配置文件（JSON/XML）。	解析器能够成功解析包含节点、连接、节点参数等信息的配置文件。
			能够将解析后的数据结构化，供后续代码生成器使用。
	代码生成器核心	基于解析后的流程结构，实现一个代码生成器，用于拼接预定义的C++代码片段，生成主逻辑文件。	能够根据流程的拓扑结构，正确地组织节点的执行顺序。
			能够将节点的参数正确地填充到代码片段的模板中。
			生成的 C++ 代码符合 C++11 标准，且逻辑与可视化流程一致。
			生成的代码包含必要的头文件引用和主函数入口。
	代码片段库与映射	建立节点类型与C++代码片段之间的映射关系，并管理这些代码片段。	提供一种管理节点类型到代码片段路径的映射的方法。
			代码生成器能够根据节点类型，成功查找到对应的代码片段。
			代码片段本身是模块化的、经过测试的 C++ 代码。
